Time,Reaction,Flux,Sim
5000000,0,55337.9805823511,run_5_toynet
5000000,1,39375.30201307506,run_5_toynet
5000000,2,15962.678569276039,run_5_toynet
5000000,3,15962.678569276039,run_5_toynet
