Time,Bound,Gene,Sim
5000000,55944.727807996474,0,run_4_toynet
5000000,39986.08302331025,1,run_4_toynet
5000000,15945.834703677905,2,run_4_toynet
5000000,15946.127584547123,3,run_4_toynet
