Sim,Null Selective Pressure std
toynet_20251029__001259__,0.3144985681194648
toynet_20251029__001259__,0.29006167382083375
toynet_20251029__001259__,0.17211857543407477
toynet_20251029__001259__,0.19393306586922818
toynet_20251029__001259__,0.22901568719701934
toynet_20251029__001259__,0.2591759404442572
toynet_20251029__001259__,0.21902647548475404
toynet_20251029__001259__,0.12398604950110284
toynet_20251029__001259__,0.11313610252714736
toynet_20251029__001259__,0.18610476012790036
toynet_20251029__001259__,0.47147327210537326
toynet_20251029__001259__,0.2293075445932268
toynet_20251029__001259__,0.14137405299523909
toynet_20251029__001259__,0.48909919488012515
toynet_20251029__001259__,0.2465891303189613
toynet_20251029__001259__,0.27153394028904343
toynet_20251029__001259__,0.2092548603042533
toynet_20251029__001259__,0.12736461648222264
toynet_20251029__001259__,0.2966067781707384
toynet_20251029__001259__,0.15503826496767198
toynet_20251029__001259__,0.27721988072722287
toynet_20251029__001259__,0.23075144071491266
toynet_20251029__001259__,0.3779171389750773
toynet_20251029__001259__,0.09601568923413721
toynet_20251029__001259__,0.048496442096966005
toynet_20251029__001259__,0.17653256150851254
toynet_20251029__001259__,0.3849632310089053
toynet_20251029__001259__,0.19641180270747757
toynet_20251029__001259__,0.24406509123204478
toynet_20251029__001259__,0.1426303291408847
toynet_20251029__001259__,0.1256040877288338
toynet_20251029__001259__,0.2831311576084648
toynet_20251029__001259__,0.0495393649604496
toynet_20251029__001259__,0.16806144113139876
toynet_20251029__001259__,0.25678952682006617
toynet_20251029__001259__,0.1904228684206354
toynet_20251029__001259__,0.24336204800682684
toynet_20251029__001259__,0.13312862580011586
toynet_20251029__001259__,0.26719194502384663
toynet_20251029__001259__,0.07597242961273763
toynet_20251029__001259__,0.2345657683538927
toynet_20251029__001259__,0.16696464819857165
toynet_20251029__001259__,0.1818362354970014
toynet_20251029__001259__,0.24231410551571522
toynet_20251029__001259__,0.1258503685023197
toynet_20251029__001259__,0.023823702995424745
toynet_20251029__001259__,0.1608049627954647
toynet_20251029__001259__,0.12217656719190699
toynet_20251029__001259__,0.19065861842401133
toynet_20251029__001259__,0.08414482669270779
toynet_20251029__001259__,0.2544197795954913
toynet_20251029__001259__,0.2797340899196584
toynet_20251029__001259__,0.3556916359332259
toynet_20251029__001259__,0.2823297733707956
toynet_20251029__001259__,0.20907117666778643
toynet_20251029__001259__,0.28491122287524373
toynet_20251029__001259__,0.11705842674743394
toynet_20251029__001259__,0.037409697412416114
toynet_20251029__001259__,0.25892444221967087
toynet_20251029__001259__,0.1676855906787105
toynet_20251029__001259__,0.3775781862902828
toynet_20251029__001259__,0.07382233744839557
toynet_20251029__001259__,0.20097310876390467
