Sim,Null Selective Pressure std
run_2_toynet,0.15528229398323093
run_2_toynet,0.01266839736457818
run_2_toynet,0.3297531205567232
run_2_toynet,0.18290276492515126
run_2_toynet,0.17651603769381088
run_2_toynet,0.21917397417375015
run_2_toynet,0.20956495297095923
run_2_toynet,0.3308319676845537
run_2_toynet,0.24323644007877437
run_2_toynet,0.3697409456063477
run_2_toynet,0.5096348679876314
run_2_toynet,0.3977051464444167
run_2_toynet,0.36406589411056056
run_2_toynet,0.046866238492430344
run_2_toynet,0.3219697159441547
run_2_toynet,0.3850153916307218
run_2_toynet,0.3072908596972111
run_2_toynet,0.29499781107318873
run_2_toynet,0.3998620893748364
run_2_toynet,0.14179750426999596
run_2_toynet,0.3042588533805505
run_2_toynet,0.13607685659326707
run_2_toynet,0.29270725685226
run_2_toynet,0.12806429482297232
run_2_toynet,0.2007614446669386
run_2_toynet,0.29017087897454397
run_2_toynet,0.2759760269025943
run_2_toynet,0.27462179941419895
run_2_toynet,0.10280264591688938
run_2_toynet,0.22343329212499943
run_2_toynet,0.22772131888832398
run_2_toynet,0.1476517341571797
run_2_toynet,0.12700205611595963
run_2_toynet,0.03408180191925302
run_2_toynet,0.0766696550775566
run_2_toynet,0.27245132816296075
run_2_toynet,0.14973390341621964
run_2_toynet,0.16412032607394886
run_2_toynet,0.27956721098675547
run_2_toynet,0.021595351423647897
run_2_toynet,0.2867613925134
run_2_toynet,0.14829386441720477
run_2_toynet,0.20586307676875895
run_2_toynet,0.12993706754221562
run_2_toynet,0.13056117415574053
run_2_toynet,0.045581262407825784
run_2_toynet,0.13889550051325586
run_2_toynet,0.17050249859405475
run_2_toynet,0.2574618916163238
run_2_toynet,0.12395848415506693
run_2_toynet,0.07220034602598359
run_2_toynet,0.20836801192779777
run_2_toynet,0.2586917325335057
run_2_toynet,0.21473245348661893
run_2_toynet,0.14972622686568107
run_2_toynet,0.12536424950824274
run_2_toynet,0.09489983350544887
run_2_toynet,0.4529875139439763
run_2_toynet,0.1315543176017504
run_2_toynet,0.11882472218789826
run_2_toynet,0.11086017196086934
run_2_toynet,0.07350793071111768
run_2_toynet,0.34161535893109785
run_2_toynet,0.16505501022728047
run_2_toynet,0.1664173666872717
run_2_toynet,0.2450832364621794
run_2_toynet,0.364659599411972
run_2_toynet,0.1598733044012758
run_2_toynet,0.30906988339465524
run_2_toynet,0.1220106631353413
run_2_toynet,0.39339744327518106
run_2_toynet,0.19913694246660024
run_2_toynet,0.10696421879327342
run_2_toynet,0.04478839792841202
run_2_toynet,0.09766569937262734
run_2_toynet,0.24388797553223798
run_2_toynet,0.018619061521434197
run_2_toynet,0.22643781656656217
run_2_toynet,0.11204232065099475
run_2_toynet,0.377062769987942
run_2_toynet,0.4194939182192171
run_2_toynet,0.13843233848543676
run_2_toynet,0.38950694608539244
run_2_toynet,0.2705541430669712
run_2_toynet,0.11040730989906257
run_2_toynet,0.16352355165531596
run_2_toynet,0.06976410143646959
run_2_toynet,0.43177060090197916
run_2_toynet,0.16411659542862417
run_2_toynet,0.14465809200700852
run_2_toynet,0.0966391032447169
run_2_toynet,0.26042846313690876
run_2_toynet,0.20591932670894314
run_2_toynet,0.2962678853007492
run_2_toynet,0.14446640238779582
run_2_toynet,0.1502169376343177
run_2_toynet,0.322828851290763
run_2_toynet,0.1449262304748836
run_2_toynet,0.05187561360783714
run_2_toynet,0.08553419669197941
