Time,Reaction,Flux,Sim
5000000,0,55140.392760244526,run_1_toynet
5000000,1,39404.438905493575,run_1_toynet
5000000,2,15735.953854750947,run_1_toynet
5000000,3,15735.953854750947,run_1_toynet
