Time,Bound,Gene,Sim
5000000,55655.00778284256,0,run_3_toynet
5000000,39805.64082660082,1,run_3_toynet
5000000,15839.439511579529,2,run_3_toynet
5000000,15840.265006652005,3,run_3_toynet
