Time,Reaction,Flux,Sim
5000000,0,55655.00778284256,run_3_toynet
5000000,1,39815.56827126303,run_3_toynet
5000000,2,15839.439511579529,run_3_toynet
5000000,3,15839.439511579529,run_3_toynet
